loan_id,customer_id,loan_sequence,product_type,ticket_size,tenure_mo,interest_rate_apr,origination_risk_grade,origination_date,origination_cohort,approval_tat_hrs,months_on_book,loan_status,default_flag,value_proxy
L0003485,C002793,1,Personal,62454,10,24.29,C,2025-06-27,2025-06,2.21,10,Closed,0,2935
L0003486,C002794,1,Personal,277579,19,23.89,C,2025-03-09,2025-03,19.29,2,Closed,0,9299
L0003487,C002795,1,Personal,35845,16,23.91,C,2024-11-12,2024-11,14.96,16,Closed,0,1963
L0003488,C002796,1,Personal,131595,19,29.21,D,2024-07-11,2024-07,53.41,19,Closed,0,19561
L0003489,C002797,1,SME,1022410,31,17.09,B,2025-09-15,2025-09,5.48,9,Closed,0,55906
L0003490,C002798,1,BNPL,10542,3,31.94,D,2025-05-09,2025-05,2.16,3,Closed,0,-191
L0003491,C002799,1,Personal,130128,21,16.07,A,2024-11-13,2024-11,1.55,20,Active,0,5536
L0003492,C002799,2,BNPL,10064,2,24.32,A,2025-12-26,2025-12,2.08,2,Closed,0,-53
L0003493,C002800,1,SME,855298,30,20.93,C,2024-10-05,2024-10,10.33,10,Closed,0,72141
L0003494,C002801,1,SME,658750,34,23.32,D,2025-03-22,2025-03,3.83,11,Written-off,1,-408756
L0003495,C002802,1,BNPL,2000,4,32.38,D,2025-11-02,2025-11,20.1,4,Closed,1,-1303
L0003496,C002803,1,Personal,85808,23,28.1,D,2025-05-01,2025-05,1.06,14,Active,0,11864
L0003497,C002804,1,Personal,132809,12,20.49,B,2024-09-10,2024-09,2.63,12,Closed,0,5829
L0003498,C002804,2,BNPL,16009,4,26.55,B,2025-11-06,2025-11,2.75,4,Closed,0,240
L0003499,C002805,1,Personal,30000,11,23.36,C,2025-04-25,2025-04,3.46,11,Closed,0,834
L0003500,C002806,1,Personal,53222,17,16.6,A,2025-05-14,2025-05,7.88,11,Closed,0,1559
L0003501,C002807,1,Personal,206186,17,16.31,A,2024-12-20,2024-12,5.25,14,Closed,0,8050
L0003502,C002808,1,Personal,65941,22,20.24,B,2024-12-26,2024-12,1.56,19,Active,0,4280
L0003503,C002809,1,Personal,171194,19,20.12,B,2026-02-12,2026-02,0.56,5,Active,0,7115
L0003504,C002809,2,Personal,166140,9,20.81,B,2026-04-10,2026-04,1.29,3,Active,0,5472
L0003505,C002810,1,BNPL,35418,4,33.34,D,2026-02-10,2026-02,9.1,4,Closed,0,1056
L0003506,C002811,1,Personal,39831,27,19.31,B,2026-03-26,2026-03,34.65,4,Active,0,333
L0003507,C002812,1,Personal,95430,13,24.05,C,2025-12-22,2025-12,3.5,7,Active,0,5748
L0003508,C002813,1,BNPL,4453,3,30.65,C,2024-09-10,2024-09,8.38,3,Closed,0,-1443
L0003509,C002813,2,BNPL,23858,4,29.2,C,2025-12-28,2025-12,3.35,4,Closed,0,353
L0003510,C002813,3,SME,906816,28,20.07,C,2026-05-01,2026-05,3.09,2,Active,0,26565
L0003511,C002814,1,BNPL,13876,4,30.05,C,2024-09-03,2024-09,4.51,4,Closed,0,-1208
L0003512,C002814,2,BNPL,23055,4,27.15,B,2024-10-15,2024-10,4.63,4,Closed,0,269
L0003513,C002814,3,Personal,38560,15,23.4,C,2025-03-27,2025-03,5.15,15,Closed,0,2311
L0003514,C002815,1,Personal,60284,23,20.37,B,2025-05-26,2025-05,12.64,14,Active,0,4099
L0003515,C002816,1,BNPL,33987,2,24.53,A,2025-01-02,2025-01,20.36,2,Closed,0,43
L0003516,C002817,1,BNPL,3618,3,24.16,A,2024-10-27,2024-10,2.22,3,Closed,0,-998
L0003517,C002818,1,BNPL,28233,3,27.5,B,2024-11-13,2024-11,2.02,3,Closed,0,-741
L0003518,C002818,2,Personal,65709,21,23.72,C,2025-03-27,2025-03,2.72,16,Active,0,7226
L0003519,C002819,1,BNPL,11157,4,26.85,B,2026-01-12,2026-01,48.19,4,Closed,0,-963
L0003520,C002820,1,SME,263905,26,20.04,C,2025-12-18,2025-12,6.01,7,Active,0,14169
L0003521,C002821,1,Personal,80701,24,23.78,C,2025-05-31,2025-05,27.95,14,Active,0,8207
L0003522,C002822,1,Personal,70122,12,28.21,D,2025-08-27,2025-08,3.65,11,Active,0,4957
L0003523,C002823,1,BNPL,14032,4,33.07,D,2025-08-23,2025-08,1.79,4,Closed,0,-60
L0003524,C002824,1,Personal,145138,18,27.49,D,2024-10-07,2024-10,2.02,18,Closed,0,20546
L0003525,C002824,2,BNPL,27012,3,33.86,D,2024-12-05,2024-12,1.81,3,Closed,0,1132
L0003526,C002825,1,Personal,98967,35,16.51,A,2025-04-15,2025-04,38.61,15,Active,0,5070
L0003527,C002825,2,Personal,40544,25,15.28,A,2025-05-31,2025-05,59.62,10,Closed,0,1016
L0003528,C002826,1,BNPL,10461,5,32.86,D,2024-11-16,2024-11,4.37,5,Closed,0,-1057
L0003529,C002827,1,SME,5000000,26,17.07,B,2025-04-09,2025-04,2.24,15,Active,0,348152
L0003530,C002828,1,SME,230762,24,16.71,B,2025-05-14,2025-05,1.8,14,Active,0,12147
L0003531,C002829,1,SME,625761,25,27.42,E,2024-08-26,2024-08,2.93,23,Active,0,136240
L0003532,C002830,1,BNPL,3706,4,30.2,C,2024-11-16,2024-11,61.43,4,Closed,0,-1084
L0003533,C002830,2,Personal,190237,12,20.14,B,2025-02-17,2025-02,26.61,12,Closed,0,10150
L0003534,C002830,3,BNPL,9915,2,27.43,B,2026-03-10,2026-03,29.3,2,Closed,0,-42
L0003535,C002831,1,BNPL,24808,1,24.39,A,2024-10-08,2024-10,1.52,1,Closed,0,-708
L0003536,C002832,1,Personal,99369,15,19.68,B,2024-12-28,2024-12,2.88,12,Closed,0,5073
L0003537,C002833,1,BNPL,15052,2,26.6,B,2026-06-06,2026-06,1.71,1,Active,0,-398
L0003538,C002834,1,Personal,70900,15,16.52,A,2026-02-04,2026-02,2.77,5,Active,0,485
L0003539,C002835,1,Personal,177654,19,31.78,E,2026-02-13,2026-02,2.25,5,Active,0,15615
L0003540,C002836,1,Personal,150019,23,15.0,A,2025-09-29,2025-09,3.42,10,Active,0,4450
L0003541,C002837,1,BNPL,16373,4,32.06,D,2024-07-04,2024-07,4.09,4,Closed,0,-458
L0003542,C002838,1,BNPL,12188,2,27.14,B,2024-09-29,2024-09,7.74,2,Closed,0,-1118
L0003543,C002839,1,BNPL,2000,5,23.49,A,2024-10-13,2024-10,18.86,5,Closed,0,-610
L0003544,C002839,2,BNPL,8968,2,23.87,A,2025-04-10,2025-04,4.48,2,Closed,0,-67
L0003545,C002839,3,BNPL,8763,4,23.93,A,2025-10-06,2025-10,5.33,4,Closed,0,-132
L0003546,C002840,1,Personal,85953,20,24.91,C,2025-12-15,2025-12,54.63,7,Active,0,5715
L0003547,C002841,1,BNPL,16807,3,32.72,D,2025-11-25,2025-11,35.86,3,Closed,0,-264
L0003548,C002842,1,Personal,86461,23,19.45,B,2024-08-22,2024-08,46.12,23,Active,0,5997
L0003549,C002843,1,SME,687378,23,17.03,B,2025-06-28,2025-06,17.13,13,Closed,0,41542
L0003550,C002844,1,Personal,179071,15,20.17,B,2024-11-28,2024-11,28.06,15,Closed,0,11368
L0003551,C002845,1,Personal,64854,15,32.16,E,2025-08-02,2025-08,1.7,11,Active,0,8403
L0003552,C002846,1,BNPL,42629,3,24.49,A,2025-01-06,2025-01,14.33,3,Closed,0,167
L0003553,C002846,2,Personal,121992,32,19.49,B,2025-08-31,2025-08,7.33,11,Active,0,8995
L0003554,C002847,1,Personal,346109,29,23.7,C,2025-08-30,2025-08,11.67,11,Active,0,37671
L0003555,C002848,1,SME,609669,29,13.29,A,2024-10-22,2024-10,14.75,13,Closed,0,19589
L0003556,C002849,1,Personal,139917,28,23.45,C,2025-04-24,2025-04,6.85,5,Closed,0,7113
L0003557,C002850,1,Personal,30677,20,23.16,C,2025-08-10,2025-08,19.46,11,Active,0,1700
L0003558,C002851,1,Personal,60831,17,19.75,B,2024-07-18,2024-07,17.88,17,Closed,0,3327
L0003559,C002852,1,Personal,216023,26,28.15,D,2024-07-27,2024-07,15.58,15,Closed,0,36349
L0003560,C002853,1,Personal,91055,25,19.43,B,2025-12-24,2025-12,1.44,7,Active,0,4176
L0003561,C002854,1,Personal,500000,12,23.39,C,2025-12-15,2025-12,1.9,4,Closed,0,22438
L0003562,C002855,1,Personal,229022,8,24.24,C,2025-06-13,2025-06,0.87,8,Closed,0,11620
L0003563,C002856,1,BNPL,50000,3,27.06,B,2025-08-20,2025-08,4.76,3,Closed,0,330
L0003564,C002857,1,BNPL,12276,4,30.16,C,2025-08-20,2025-08,5.63,4,Closed,0,-282
L0003565,C002857,2,Personal,52590,25,24.18,C,2025-11-28,2025-11,2.16,8,Active,0,4090
L0003566,C002858,1,Personal,69669,19,28.05,D,2025-12-15,2025-12,29.31,7,Active,0,6076
L0003567,C002859,1,BNPL,11381,1,27.23,B,2025-05-18,2025-05,10.7,1,Closed,0,-7
L0003568,C002859,2,BNPL,11744,4,27.11,B,2025-06-27,2025-06,8.14,4,Closed,0,41
L0003569,C002860,1,Personal,74610,19,19.34,B,2025-12-06,2025-12,2.75,7,Active,0,2728
L0003570,C002861,1,BNPL,4500,3,23.81,A,2025-01-15,2025-01,4.34,3,Closed,0,-1338
L0003571,C002862,1,BNPL,13359,3,23.32,A,2024-07-30,2024-07,29.07,3,Closed,0,-418
L0003572,C002863,1,SME,414076,36,17.47,B,2025-06-03,2025-06,47.32,3,Closed,0,11162
L0003573,C002864,1,Personal,67268,18,15.63,A,2026-06-29,2026-06,56.12,1,Active,0,530
L0003574,C002865,1,Personal,69160,19,24.0,C,2024-07-10,2024-07,1.54,19,Closed,0,6205
L0003575,C002865,2,BNPL,7120,3,32.34,D,2024-08-11,2024-08,4.23,3,Closed,1,-2779
L0003576,C002865,3,Personal,117854,13,27.9,D,2026-02-17,2026-02,4.11,2,Closed,0,4592
L0003577,C002866,1,Personal,45045,19,28.13,D,2024-11-06,2024-11,3.11,5,Closed,0,2153
L0003578,C002867,1,BNPL,9602,4,27.07,B,2025-02-04,2025-02,2.51,4,Closed,0,-932
L0003579,C002868,1,BNPL,10205,4,28.99,C,2025-02-23,2025-02,12.11,4,Closed,0,-298
L0003580,C002869,1,BNPL,28174,4,23.43,A,2025-09-27,2025-09,3.25,4,Closed,0,-1037
L0003581,C002870,1,Personal,64308,25,24.5,C,2026-05-01,2026-05,2.2,2,Active,0,1924
L0003582,C002871,1,Personal,316716,15,28.11,D,2026-03-28,2026-03,1.94,4,Active,0,19163
L0003583,C002872,1,Personal,500000,17,20.16,B,2025-07-06,2025-07,1.26,12,Active,0,39677
L0003584,C002873,1,Personal,117288,12,27.72,D,2025-08-31,2025-08,1.19,11,Active,0,12399
L0003585,C002874,1,Personal,94483,24,20.53,B,2026-01-24,2026-01,27.1,6,Active,0,3960
L0003586,C002875,1,Personal,202680,9,23.38,C,2025-04-20,2025-04,21.05,9,Closed,0,11260
L0003587,C002876,1,Personal,233887,32,23.95,C,2024-07-15,2024-07,59.71,24,Active,0,43797
L0003588,C002877,1,Personal,231732,20,15.93,A,2024-08-15,2024-08,1.09,2,Closed,0,4502
L0003589,C002878,1,BNPL,5022,2,30.96,C,2025-01-21,2025-01,3.52,2,Closed,0,-1198
L0003590,C002879,1,Personal,74663,20,15.41,A,2024-07-15,2024-07,3.06,20,Closed,0,1129
L0003591,C002879,2,BNPL,4689,6,24.09,A,2025-07-26,2025-07,2.93,6,Closed,0,-326
L0003592,C002879,3,SME,2994144,42,13.4,A,2025-10-12,2025-10,1.6,3,Closed,0,61957
L0003593,C002880,1,SME,504081,22,19.67,C,2024-09-19,2024-09,4.2,22,Closed,0,45853
L0003594,C002881,1,Personal,171596,8,27.42,D,2025-08-03,2025-08,1.39,8,Closed,0,9790
L0003595,C002882,1,Personal,104392,19,24.51,C,2026-03-19,2026-03,73.23,4,Active,0,4861
L0003596,C002883,1,SME,491358,17,19.49,C,2025-07-18,2025-07,3.05,2,Closed,0,12309
L0003597,C002883,2,BNPL,10956,3,33.41,D,2025-09-25,2025-09,1.78,3,Closed,0,165
L0003598,C002884,1,Personal,249032,24,20.73,B,2024-11-23,2024-11,1.75,20,Active,0,26186
L0003599,C002885,1,BNPL,45937,3,29.27,C,2024-07-15,2024-07,4.35,3,Closed,0,599
L0003600,C002886,1,SME,3639507,31,23.47,D,2025-02-18,2025-02,6.46,7,Written-off,1,-2506505
L0003601,C002886,2,BNPL,33636,3,30.11,C,2026-04-02,2026-04,3.37,3,Closed,0,473
L0003602,C002887,1,Personal,52012,18,24.49,C,2025-12-05,2025-12,10.17,7,Active,0,3375
L0003603,C002888,1,BNPL,10687,3,26.52,B,2026-06-27,2026-06,2.2,1,Active,0,-1315
L0003604,C002889,1,BNPL,50000,3,25.93,B,2025-07-11,2025-07,23.58,3,Closed,0,289
L0003605,C002890,1,BNPL,3158,3,30.19,C,2025-10-20,2025-10,3.84,3,Closed,0,-1271
L0003606,C002891,1,Personal,62872,16,16.24,A,2025-03-12,2025-03,1.98,16,Closed,0,936
L0003607,C002892,1,Personal,261825,13,27.89,D,2024-11-28,2024-11,10.33,13,Closed,0,29611
L0003608,C002893,1,Personal,277713,19,20.1,B,2026-06-14,2026-06,58.66,1,Active,0,4851
L0003609,C002894,1,SME,707492,12,23.81,D,2025-06-21,2025-06,3.22,12,Closed,0,52462
L0003610,C002895,1,Personal,85384,16,20.82,B,2026-04-12,2026-04,2.43,3,Active,0,2226
L0003611,C002896,1,BNPL,11760,4,26.49,B,2024-09-27,2024-09,3.19,4,Closed,0,-342
L0003612,C002897,1,Personal,50348,17,22.99,C,2025-09-23,2025-09,13.4,10,Active,0,3155
L0003613,C002898,1,Personal,112297,17,24.19,C,2025-08-04,2025-08,32.99,11,Active,0,8877
L0003614,C002899,1,SME,264478,14,16.65,B,2025-02-09,2025-02,1.27,12,Closed,0,10819
L0003615,C002900,1,BNPL,7549,5,29.82,C,2024-12-06,2024-12,3.69,5,Closed,0,-1403
L0003616,C002901,1,BNPL,3102,2,24.14,A,2025-10-05,2025-10,4.46,2,Closed,0,-691
L0003617,C002902,1,BNPL,12009,5,29.78,C,2026-06-11,2026-06,2.62,1,Active,0,-968
L0003618,C002903,1,BNPL,18340,3,24.45,A,2026-02-16,2026-02,2.02,3,Closed,0,-512
L0003619,C002904,1,BNPL,42431,2,26.65,B,2025-01-12,2025-01,54.4,2,Closed,0,108
L0003620,C002905,1,Personal,84227,14,23.57,C,2025-01-23,2025-01,3.0,14,Closed,0,5838
L0003621,C002905,2,SME,933263,38,16.21,B,2025-05-31,2025-05,12.08,14,Active,0,60582
L0003622,C002905,3,Personal,43839,12,19.57,B,2025-12-09,2025-12,7.74,7,Active,0,1600
L0003623,C002906,1,BNPL,10986,3,36.11,E,2025-11-06,2025-11,38.41,3,Closed,1,-5101
L0003624,C002907,1,Personal,130657,20,24.79,C,2024-12-03,2024-12,2.07,19,Active,0,15634
L0003625,C002908,1,BNPL,10121,2,27.3,B,2025-01-19,2025-01,4.72,2,Closed,0,-2024
L0003626,C002909,1,Personal,183564,11,28.91,D,2026-04-01,2026-04,2.18,3,Active,0,8970
L0003627,C002910,1,Personal,358712,18,28.62,D,2024-11-28,2024-11,12.52,18,Closed,0,55032
L0003628,C002911,1,SME,945566,29,22.09,D,2025-05-03,2025-05,4.65,14,Active,0,108464
L0003629,C002912,1,Personal,55931,20,24.18,C,2025-02-22,2025-02,31.56,17,Active,0,4674
L0003630,C002913,1,Personal,104589,21,19.63,B,2025-04-29,2025-04,2.27,9,Closed,0,4850
L0003631,C002914,1,SME,1383601,26,23.21,D,2026-04-19,2026-04,1.89,3,Active,0,60250
L0003632,C002915,1,SME,789240,27,24.14,D,2026-06-30,2026-06,4.35,1,Active,0,18756
L0003633,C002916,1,BNPL,2000,6,29.5,C,2026-02-17,2026-02,13.51,5,Active,0,-583
L0003634,C002917,1,SME,902775,23,17.81,B,2025-07-16,2025-07,4.48,12,Active,0,59843
L0003635,C002917,2,SME,2193417,21,16.85,B,2025-11-16,2025-11,2.61,8,Active,0,101385
L0003636,C002917,3,BNPL,23317,1,26.76,B,2026-03-12,2026-03,3.79,1,Closed,0,37
L0003637,C002918,1,Personal,240841,17,27.12,D,2025-04-19,2025-04,10.23,15,Active,1,-84120
L0003638,C002919,1,Personal,129617,18,24.99,C,2024-12-05,2024-12,34.55,18,Closed,0,15281
L0003639,C002919,2,Personal,79857,12,24.63,C,2025-06-08,2025-06,50.84,12,Closed,0,5446
L0003640,C002920,1,Personal,166298,18,32.41,E,2024-10-28,2024-10,1.72,18,Closed,0,27212
L0003641,C002920,2,Personal,115642,26,28.31,D,2026-05-27,2026-05,2.68,2,Active,0,4768
L0003642,C002920,3,Personal,165864,18,27.87,D,2026-06-16,2026-06,2.73,1,Active,0,4634
L0003643,C002921,1,Personal,75820,12,27.98,D,2024-10-23,2024-10,3.48,12,Closed,0,5431
L0003644,C002921,2,BNPL,5881,3,32.31,D,2025-08-19,2025-08,3.93,3,Closed,0,-68
L0003645,C002922,1,SME,1099754,10,13.64,A,2025-06-14,2025-06,3.43,9,Closed,0,27851
L0003646,C002922,2,SME,839602,32,16.61,B,2026-04-30,2026-04,15.34,3,Active,0,23534
L0003647,C002923,1,SME,493115,25,17.51,B,2025-02-20,2025-02,6.82,14,Written-off,1,-305051
L0003648,C002924,1,Personal,64040,20,16.15,A,2025-10-28,2025-10,2.81,9,Active,0,1218
L0003649,C002925,1,Personal,251660,19,15.75,A,2025-11-07,2025-11,3.51,8,Active,0,7861
L0003650,C002926,1,BNPL,6953,3,30.24,C,2025-08-23,2025-08,3.04,3,Closed,1,-4109
L0003651,C002927,1,BNPL,9108,5,24.43,A,2026-05-12,2026-05,5.73,2,Active,0,-96
L0003652,C002928,1,BNPL,28879,2,30.34,C,2025-10-02,2025-10,74.63,2,Closed,0,-762
L0003653,C002929,1,Personal,102228,20,23.84,C,2025-04-08,2025-04,13.68,15,Active,0,10486
L0003654,C002930,1,SME,1124828,22,20.51,C,2025-06-18,2025-06,2.99,13,Active,0,103527
L0003655,C002931,1,BNPL,8940,3,32.72,D,2025-03-03,2025-03,11.91,3,Closed,0,-879
L0003656,C002932,1,Personal,500000,17,19.64,B,2026-04-03,2026-04,37.81,3,Active,0,15754
L0003657,C002933,1,SME,839904,25,17.32,B,2025-07-24,2025-07,10.95,9,Closed,0,44354
L0003658,C002934,1,Personal,116985,19,24.06,C,2025-04-26,2025-04,17.25,15,Active,0,12351
L0003659,C002935,1,Personal,236146,15,19.66,B,2025-03-11,2025-03,1.39,15,Closed,0,15015
L0003660,C002936,1,BNPL,21434,3,29.62,C,2025-04-01,2025-04,6.73,3,Closed,0,53
L0003661,C002937,1,SME,200000,25,17.36,B,2026-05-03,2026-05,0.93,2,Active,0,4161
L0003662,C002938,1,Personal,134513,33,16.47,A,2024-09-21,2024-09,6.66,14,Closed,0,6935
L0003663,C002939,1,BNPL,38641,2,36.41,E,2026-02-02,2026-02,3.29,2,Closed,0,824
L0003664,C002940,1,Personal,139182,19,15.1,A,2024-07-04,2024-07,33.83,19,Closed,0,4463
L0003665,C002941,1,BNPL,10573,3,29.52,C,2026-03-03,2026-03,1.81,3,Closed,0,-1223
L0003666,C002941,2,Personal,80051,19,27.97,D,2026-06-10,2026-06,3.13,1,Active,0,2205
L0003667,C002942,1,BNPL,2008,5,30.38,C,2024-09-16,2024-09,6.79,5,Closed,0,-1648
L0003668,C002943,1,Personal,133844,11,23.6,C,2024-07-05,2024-07,2.41,11,Closed,0,7829
L0003669,C002944,1,BNPL,2049,3,27.31,B,2025-01-08,2025-01,3.9,3,Closed,0,-879
L0003670,C002945,1,BNPL,6059,4,26.44,B,2024-12-14,2024-12,18.28,4,Closed,0,-362
L0003671,C002946,1,Personal,30000,21,15.48,A,2026-04-09,2026-04,27.57,3,Active,0,-696
L0003672,C002947,1,SME,361899,34,22.93,D,2025-10-09,2025-10,0.71,9,Active,0,32905
L0003673,C002948,1,Personal,60513,18,32.89,E,2025-06-15,2025-06,6.3,13,Active,0,10512
L0003674,C002949,1,SME,369943,28,13.72,A,2025-01-28,2025-01,1.67,16,Closed,0,12930
L0003675,C002950,1,BNPL,14264,3,36.47,E,2026-03-09,2026-03,3.87,3,Closed,1,-6137
L0003676,C002951,1,Personal,30000,23,31.83,E,2024-11-14,2024-11,35.96,20,Closed,0,4286
L0003677,C002952,1,Personal,95656,7,20.51,B,2024-09-08,2024-09,17.66,7,Closed,0,2999
L0003678,C002952,2,SME,456103,21,16.99,B,2026-02-28,2026-02,16.18,5,Active,0,16809
L0003679,C002953,1,BNPL,10077,3,27.15,B,2025-08-07,2025-08,4.39,3,Closed,0,-1193
L0003680,C002954,1,SME,608075,21,19.43,C,2024-10-02,2024-10,3.53,21,Active,0,53469
L0003681,C002955,1,SME,407167,36,22.73,D,2025-04-13,2025-04,4.02,15,Active,0,53414
L0003682,C002956,1,Personal,150186,13,26.04,D,2025-06-09,2025-06,1.29,13,Active,1,-37505
L0003683,C002957,1,BNPL,50000,1,32.74,D,2024-09-05,2024-09,1.49,1,Closed,0,355
L0003684,C002957,2,Personal,47484,17,26.88,D,2026-06-17,2026-06,1.87,1,Active,0,1230
L0003685,C002958,1,Personal,207768,17,24.75,C,2025-10-23,2025-10,12.0,9,Active,0,17783
L0003686,C002959,1,SME,1213398,12,17.39,B,2024-12-16,2024-12,47.15,12,Closed,0,52863
L0003687,C002960,1,Personal,83091,26,20.51,B,2024-10-19,2024-10,15.27,9,Closed,0,5533
L0003688,C002961,1,BNPL,5433,2,27.35,B,2024-11-13,2024-11,21.93,2,Closed,0,-364
L0003689,C002962,1,SME,474298,10,17.04,B,2025-07-30,2025-07,9.65,10,Closed,0,20375
L0003690,C002963,1,Personal,172683,19,24.36,C,2026-04-13,2026-04,10.87,3,Active,0,7443
L0003691,C002964,1,SME,211416,19,14.67,A,2025-10-16,2025-10,2.99,4,Closed,0,4060
L0003692,C002964,2,Personal,109865,23,16.14,A,2025-12-10,2025-12,3.13,7,Active,0,3876
L0003693,C002965,1,Personal,109259,22,20.38,B,2025-02-18,2025-02,1.81,17,Active,0,8804
L0003694,C002966,1,BNPL,5875,4,30.54,C,2025-03-23,2025-03,22.13,4,Closed,1,-3369
L0003695,C002966,2,Personal,59940,17,26.53,D,2026-02-20,2026-02,51.46,5,Active,0,3886
L0003696,C002967,1,Personal,94855,25,19.25,B,2026-05-10,2026-05,1.31,2,Active,0,1850
L0003697,C002968,1,Personal,66489,25,23.41,C,2024-10-29,2024-10,14.38,21,Active,0,8293
L0003698,C002969,1,Personal,110304,24,19.85,B,2025-08-09,2025-08,18.77,11,Active,0,7763
L0003699,C002970,1,BNPL,14412,4,30.12,C,2024-09-21,2024-09,2.51,4,Closed,0,-985
L0003700,C002971,1,BNPL,24411,3,26.9,B,2024-12-18,2024-12,1.57,3,Closed,0,-382
L0003701,C002972,1,Personal,117216,19,24.27,C,2024-10-29,2024-10,4.97,19,Closed,0,11445
L0003702,C002973,1,BNPL,7679,2,29.7,C,2026-01-12,2026-01,19.97,2,Closed,0,-211
L0003703,C002974,1,Personal,188791,23,20.95,B,2024-10-19,2024-10,1.5,21,Active,0,18898
L0003704,C002975,1,Personal,185946,27,23.82,C,2024-11-19,2024-11,126.53,20,Active,0,28102
L0003705,C002976,1,SME,942543,22,16.7,B,2024-10-17,2024-10,8.07,21,Active,0,64747
L0003706,C002977,1,Personal,500000,13,24.61,C,2024-12-26,2024-12,3.07,13,Closed,0,40897
L0003707,C002977,2,Personal,30000,19,23.69,C,2025-06-24,2025-06,3.92,13,Active,0,2219
L0003708,C002978,1,BNPL,5025,3,29.79,C,2024-12-20,2024-12,2.87,3,Closed,0,-723
L0003709,C002978,2,SME,909919,32,20.54,C,2026-01-03,2026-01,0.58,1,Closed,0,20631
L0003710,C002978,3,BNPL,8475,4,30.25,C,2026-02-20,2026-02,4.12,4,Closed,0,-69
L0003711,C002979,1,BNPL,10934,3,29.98,C,2025-04-25,2025-04,4.15,3,Closed,0,-704
L0003712,C002979,2,BNPL,9527,4,29.94,C,2025-05-28,2025-05,1.65,4,Closed,0,233
L0003713,C002979,3,Personal,65851,15,23.89,C,2026-05-07,2026-05,1.4,2,Active,0,2119
L0003714,C002980,1,Personal,97490,15,20.04,B,2024-12-16,2024-12,12.91,15,Closed,0,5705
L0003715,C002980,2,BNPL,11866,3,26.27,B,2025-05-15,2025-05,9.08,3,Closed,0,231
L0003716,C002981,1,SME,402312,27,17.74,B,2025-03-09,2025-03,2.31,16,Active,0,33707
L0003717,C002981,2,Personal,114386,26,24.01,C,2025-05-10,2025-05,3.18,14,Active,0,13735
L0003718,C002981,3,SME,1115375,26,15.43,B,2025-12-08,2025-12,1.21,7,Active,0,41909
L0003719,C002982,1,Personal,97293,20,23.09,C,2024-11-22,2024-11,2.55,19,Closed,0,10032
L0003720,C002983,1,BNPL,30968,3,23.7,A,2024-10-23,2024-10,0.73,3,Closed,0,-589
L0003721,C002983,2,Personal,30000,17,14.88,A,2025-06-26,2025-06,1.62,11,Closed,0,282
L0003722,C002984,1,BNPL,11936,4,26.98,B,2025-10-19,2025-10,1.56,4,Closed,0,-459
L0003723,C002985,1,BNPL,8502,4,24.48,A,2025-06-01,2025-06,2.94,4,Closed,0,-1849
L0003724,C002986,1,Personal,192513,17,15.93,A,2024-07-28,2024-07,4.13,17,Closed,0,7533
L0003725,C002987,1,BNPL,7489,3,36.37,E,2025-06-23,2025-06,3.94,3,Closed,1,-3700
L0003726,C002988,1,BNPL,19526,2,29.58,C,2025-08-28,2025-08,2.66,2,Closed,0,-589
L0003727,C002989,1,SME,5000000,24,19.81,C,2025-04-22,2025-04,3.58,15,Active,0,459536
L0003728,C002989,2,Personal,101324,8,19.43,B,2025-10-11,2025-10,4.21,8,Closed,0,3431
L0003729,C002989,3,Personal,52486,26,23.08,C,2026-05-04,2026-05,2.2,2,Active,0,1636
L0003730,C002990,1,BNPL,10485,1,33.55,D,2025-10-18,2025-10,63.89,1,Closed,0,-673
L0003731,C002990,2,SME,200000,21,23.03,D,2026-03-25,2026-03,44.14,4,Active,0,9901
L0003732,C002991,1,BNPL,12910,3,30.09,C,2024-08-26,2024-08,5.22,3,Closed,0,-521
L0003733,C002991,2,Personal,120093,29,23.46,C,2025-04-27,2025-04,2.35,15,Active,0,15044
L0003734,C002992,1,BNPL,5333,3,33.95,D,2025-07-11,2025-07,79.02,3,Closed,1,-3301
L0003735,C002993,1,SME,546818,19,20.66,C,2026-03-17,2026-03,34.43,4,Active,0,22787
L0003736,C002994,1,BNPL,8053,2,26.74,B,2026-02-17,2026-02,4.28,2,Closed,0,-770
L0003737,C002995,1,BNPL,24673,5,26.91,B,2026-05-15,2026-05,9.83,2,Active,0,42
L0003738,C002995,2,Personal,276319,14,16.19,A,2026-06-24,2026-06,8.02,1,Active,0,5182
L0003739,C002996,1,BNPL,3240,2,27.03,B,2025-08-14,2025-08,9.77,2,Closed,0,-354
L0003740,C002997,1,BNPL,9552,3,36.32,E,2025-12-04,2025-12,40.53,3,Closed,0,-595
L0003741,C002998,1,SME,410604,25,16.75,B,2025-09-23,2025-09,8.72,10,Active,0,21080
L0003742,C002999,1,Personal,97967,16,27.79,D,2024-11-07,2024-11,2.23,16,Closed,0,10261
L0003743,C003000,1,Personal,53454,23,20.82,B,2026-03-27,2026-03,1.3,4,Active,1,-34279
L0003744,C003001,1,SME,472529,25,14.32,A,2026-06-10,2026-06,5.41,1,Active,0,6908
L0003745,C003002,1,Personal,162577,28,19.4,B,2026-04-27,2026-04,1.05,3,Active,0,4799
L0003746,C003003,1,Personal,107534,17,15.61,A,2025-01-08,2025-01,2.61,17,Closed,0,3188
L0003747,C003004,1,BNPL,12201,3,35.56,E,2026-02-16,2026-02,10.15,3,Closed,1,-4669
